barcode,dateaccessioned,title,editionstatement,author,Subject,Callnumber,Shelving_location,itemtype,price
224DB1510,22/04/2016,OBJECT ORIENTED PROGRAMMING WITH C++,,BALAGURUSAMY E,IT,005.12/BAL,,DB,1
224DB1511,22/04/2016,8051 MICROCONTROLLER AND EMBEDDED SYSTEMS,2,MAZIDI ALI MUHAMMAD,E &amp; TC,629.895/MAZ,,DB,1
224DB1512,22/04/2016,8051 MICROCONTROLLER AND EMBEDDED SYSTEMS,2,MAZIDI ALI MUHAMMAD,E &amp; TC,629.895/MAZ,,DB,1
224DB1513,22/04/2016,DESIGN OF THE UNIX OPERATING SYSTEMS,,BACH J MAURICE,IT,005.4469/BAC,,DB,1
224DB1514,22/04/2016,INTEL MICROPROCESSORS,8,BREY B BARRY,E &amp; TC,004.16/BRE,,DB,1
224DB1515,22/04/2016,ROMANTIC HOLIDAYS IN INDIA,2,OUTLOOK PUB I P LTD ,IT,800/OUT,,DB,1
224DB1516,22/04/2016,OUTLOOK RAJASTHAN STATE GUIDE,,OUTLOOK PUB I P LTD  ,E &amp; TC,800/OUT,,DB,351.26
224DB1517,22/04/2016,OUTLOOK TREKKING HOLIDAYS IN INDIA,,OUTLOOK PUB I P LTD ,IT,800/OUT,,DB,1
224DB1518,22/04/2016,"WEB ENABLED COMMERCIAL APPLICATION DEVELOPMENT USING HTML,JAVASCRIPT,DHTMLAND PHP",4,BAYROSS IVAN,IT,005.72/BAY,,DB,1
224DB1519,22/04/2016,C PROGRAMMING LANGUAGE,2,KERNIGHAN W BRIAN,IT,005.133C/KER/RIT,,DB,1
224DB1520,22/04/2016,BEGINNING JAVA SCRIPT,,WILTON PAUL,IT,005.133J/WIL/MCP,,DB,1
224DB1521,22/04/2016,OPERATING SYSTEM CONCEPTS,8,SILBERSCHATZ ABRAHAM,IT,005.43/SIL/GAL,,DB,1
224DB1522,02/05/2016,CRYPTOGRAPHY AND NETWORK SECURITY,2,STALLING WILLIAM,COMPUTER,005.82/STA,,DB,1
224DB1523,02/05/2016,PRACTICAL C PROGRAMMING,3,OUALLINE STEVE,COMPUTER,005.133C/OUA,,DB,1
224DB1524,02/05/2016,TEXTBOOK ON C#,,SELVI S,COMPUTER,005.133C/SEL/MUR,,DB,1
224DB1525,02/05/2016,SYSTEM PROGRAMMING AND OPERATING SYSTEMS,1,DHAMDHERE D,COMPUTER,005.42/DHA,,DB,1
224DB1526,05/05/2016,SYSTEM PROGRAMMING,,DHAMDHERE D .M.,COMPUTER,005.42/DHA,,DB,1
224DB1527,05/05/2016,INTRODUCTION TO LANGUAGE AND THE THEORY OF COMPUTATION,3,MARTIN JOHN C,E &amp; TC,004/MAR,,DB,1
224DB1528,02/05/2016,TAI MI COLECTOR VHAYANU,1,PATIL RAJESH,E &amp; TC,800/PAT,,DB,1
224DB1529,02/05/2016,8051 MICROCONTROLLER AND EMBEDDED SYSTEMS,1,MAZIDI M. A.,E &amp; TC,629.895/MAZ,,DB,
224DB1530,02/05/2016,ARTIFICIALS INTELLIGENCE,2,RUSSELL STUART,E &amp; TC,006.3/RUS/NOR,,DB,1
224DB1531,02/05/2016,AUDIO AND VIDEO ENGINEERING SYSTEMS,1,GUPTA R. G.,E &amp; TC,621.38215/GUP,,DB,1
224DB1532,02/05/2016,SIGNALS AND SYSTEMS,2,HAYKIN SIMON,E &amp; TC,621.3822/HAY/VEE,,DB,1
224DB1533,02/05/2016,ADVANCED MICROPROCESSORS AND PERIPHERIALS,2,RAY AJAYKUMAR,E &amp; TC,004.16/RAY,,DB,1
224DB1534,02/05/2016,ASP.NET 4.5 (COVERS C# AND VB 2012 CODES) : BLACK BOOK,1,KOGENT LEARNING SOLU ,IT,005.72/KOG,,DB,1
224DB1535,02/05/2016,PROGRAMMING IN ANSI C,6,BALAGRUSAMY E ,IT,005.133C/BAL,,DB,1
224DB1536,02/05/2016,DATA STRUCTURES,1,LIPSCHUTZ S,IT,005.73/LIP,,DB,1
224DB1537,02/05/2016,DISTRIBUTED OPERATING SYSTEM CONCEPTS & DESIGN,1,SINHA PRADEEP K ,IT,005.44/SIN,,DB,1
224DB1538,02/05/2016,BASIC COMPUTER SCIENCE,1,FOROUZAN B. ,IT,004/FOR,,DB,1
224DB1539,02/05/2016,INTRODUCTION TO THE THEORY OF COMPUTATION,2,SIPSER MICHAEL,IT,004/SIP,,DB,1
224DB1540,02/05/2016,OBJECT ORIENTED PROGRAMMING USING C++ AND JAVA,1,BALAGRUSAMY E,COMPUTER,005.12/BAL,,DB,1
224DB1541,02/05/2016,MICROPROCESSORS And INTERFACING,3,HALL DOUGLAS V.,E &amp; TC,004.16/HAL,,DB,1
224DB1542,02/05/2016,BASIC ELECTRONICS AND LINEAR CIRCUITS,1,BHARGAVA N N,E &amp; TC,621.3815/BHA,,DB,1
224DB1543,02/05/2016,MODERN DIGITAL ELECTRONICS,4,JAIN R P,E &amp; TC,621.395/JAI,,DB,1
224DB1544,02/05/2016,INTEL MICROPROCESSORS,8,BREY BARRY B,E &amp; TC,004.16/BRE,,DB,1
224DB1545,02/05/2016,CIRCUITS AND NETWORKS,4,SUDHAKAR A,E &amp; TC,621.3192/SUD,,DB,1
224DB1546,02/05/2016,PIC MICROCONTROLLER AND EMBEDDED SYSTEMS,1,MAZIDI M A,E &amp; TC,629.895/MAZ,,DB,1
224DB1547,02/05/2016,LET US C,12,KANETKAR YASHAVANT,IT,005.133C/KAN,,DB,1
224DB1548,02/05/2016,LET US C,12,KANETKAR YASHAVANT,IT,005.133C/KAN,,DB,1
224DB1549,02/05/2016,BHARATIYA NIVADNUK PRANALI,1,NIKALJE TUSHAR NIVRUTTI,COMPUTER,800/NIK,,DB,1
224DB1550,02/05/2016,RESEARCH METHODOLOGY,3,KOTHARI C R,COMPUTER,001.42/KOT,,DB,1
224DB1551,02/05/2016,OP-AMPS AND LINEAR INTEGRATED CIRCUITS,4,GAYAKWAD RAMAKANT A,E &amp; TC,621.395/GAY,,DB,1
224DB1552,02/05/2016,OBJECT ORIENTED PROGRAMMING USING C++ AND JAVA,,BALAGRUSAMY E,E &amp; TC,005.12/BAL,,DB,1
224DB1553,28/06/2016,OPENCV WITH PYTHON BY EXAMPLE,,JOSHI PRATEEK,COMPUTER,005.133PYT/JOS,,DB,1
224DB1554,27/06/2016,LET US C,12,KANETKAR YASHAVANT,COMPUTER,005.133C/KAN,,DB,1
224DB1555,27/06/2016,DATA STRUCTURES THROUGH C,1,KANETKAR  YASHAVANT,E &amp; TC,005.73/KAN,,DB,297.5
224DB1556,14/07/2016,2 STATES:,2,BHAGAT  CHETAN,IT,800/BHA,,DB,406.74
224DB1557,14/07/2016,ONE NIGHT AT THE CALL CENTER,1,BHAGAT CHETAN,IT,800/BHA,,DB,1
224DB1558,14/07/2016,WINNER STANDS ALONE,1,COELO PAULO,IT,800/COE,,DB,1
224DB1559,14/07/2016,CHICKEN SOUP FOR THE GIRL'S SOUL,1,CANFIELD JACK,IT,800/CAN,,DB,1
224DB1560,14/07/2016,INHERITANCE OF LOSS,1,DESAI KIRAN,IT,800/DES,,DB,1
224DB1561,14/07/2016,CHICKEN SOUP FOR THE SOUL,1,CANFIELD JACK,IT,800/CAN,,DB,1
224DB1562,14/07/2016,SWAMI VIVEKANAND YANCHE CHARITRA,1,MUJUMDAR SATYANDRANATH,IT,800/MUJ,,DB,1
224DB1563,14/07/2016,MANUAL OF THE WARRIOR OF LIGHT,1,COELHO PAULO,IT,800/COE,,DB,1
224DB1564,14/07/2016,PRABANDHALEKHANACHI PADDHATI,1,KSHRIRASAGAR SHAKUNTALA,IT,020/KSH,,DB,1
224DB1565,14/07/2016,GRANTHALAY PARICHAY,2,PARAKHI GANGADHAR RAGHUNATH,IT,020/PAR,,DB,1
224DB1566,14/07/2016,GRANTHALAY AANI MAHITISHASTRA,,DEVDHAR VIJAY,IT,020/DEV,,DB,1
224DB1567,14/07/2016,GRANTHALAY SANGANKIKARAN AANI ADHUNIKIKARAN,6,PHADKE D N,IT,020/PHA,,DB,1
224DB1568,14/07/2016,GRANTHALAY AANI MAHITISHASTRA SANSHODHAN,,KUMBHAR RAJENDRA,IT,020/KUM,,DB,1
224DB1569,18/07/2016,MANUAL OF LIBRARY AND INFORMATION SCIENCE,,SUTAR DHANANJAY,IT,020/SUT,,DB,1
224DB1570,18/07/2016,MANAGEMENT INFORMATION SYSTEMS,,JAWADEKAR WAMAN S,IT,658.4038/JAW,,DB,1
224DB1571,18/07/2016,CAT,,AGARWAL DEEPAK,E &amp; TC,371.26/AGA,,DB,1
224DB1572,18/07/2016,SIGNALS AND SYSTEMS,2,HAYKIN SYMON,E &amp; TC,621.3822/HAY,,DB,1
224DB1573,18/07/2016,ELECTRONIC DEVICES AND CIRCUITS,3,MILLMAN LATE JACOB,E &amp; TC,621.3815/MIL,,DB,1
224DB1574,18/07/2016,PRINCIPLES OF ELECTROMAGNETICS,4,SADIKU MATTHEW N O,E &amp; TC,621.3/SAD,,DB,1
224DB1575,18/07/2016,MODERN OPERATING SYSTEMS,3,TANEBAUM ANDREW S,E &amp; TC,005.43/TAN,,DB,1
224DB1576,05/08/2016,QUICK TEST PROFESSIONAL,,SANKAR RAVI VINNAKOTA,E &amp; TC,005.10684/SAN,,DB,1
224DB1577,05/08/2016,SOFTWARE TESTING :,,LIMAYE G M,IT,005.10684/LIM,,DB,1
224DB1578,04/10/2016,BIG DATA ANALYTICS,,KULKARNI PARAG,COMPUTER,005.7/KUL,,DB,1
224DB1579,04/10/2016,PEARSON CONCISE GENERAL KNOWLEDGE MANUAL 2017,15,THORPE EDGER,IT,001/THO,,DB,1
224DB1580,07/10/2016,ADVANCED MS DOS PROGRAMMING,2,DUNCAN RAY,IT,005.4469/DUN,,DB,1
224DB1581,07/10/2016,ADVANCED MS DOS PROGRAMMING,2,DUNCAN RAY,IT,005.4469/DUN,,DB,1
224DB1582,07/10/2016,DATABASE SYSTEM CONCEPTS,5,SILBERSCHATZ ABRAHAM,IT,005.74/SIL,,DB,1
224DB1583,24/10/2016,ESE 2015 ELECTRICAL ENGINEERING OBJECTIVE SOLVED PAPERS - PAPER - I,9,MADE EASY PUB ,E &amp; TC,371.26/MAP,,DB,1
224DB1584,24/10/2016,ESE 2015 ELECTRICAL ENGINEERING OBJECTIVE SOLVED PAPERS - PAPER - II,5,MADE EASY PUB ,E &amp; TC,371.26/MAP,,DB,1
224DB1585,24/10/2016,Ese 2015 E&T Engineering Topicwise Objective Solved Paper-II,7,MADE EASY PUB ,E &amp; TC,371.26/MAP,,DB,1
224DB1586,24/10/2016,ESE 2015 E&T ENGINEERING CONVENTIONAL SOLVED PAPER-I,7,MADE EASY PUB ,E &amp; TC,371.26/MAP,,DB,1
224DB1587,24/10/2016,NETWORK SYNTHESIS AND FILTER DESIGN,,RAJANKUMAR O S,E &amp; TC,621.38215/RAJ/KAD,,DB,1
224DB1588,24/10/2016,ELECTROMAGNATIC FIELDS,2,SAHU B MADHU K,E &amp; TC,621.3/SAH,,DB,1
224DB1589,24/10/2016,CIRCUITS AND NETWORKS:,,SUKHIJA S M,E &amp; TC,621.3192/SUK,,DB,1
